Department Name,Address:,Specification,Brand,Model No,Serial No,Warranty Period,Category
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509645,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508511,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508181,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508575,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507417,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508467,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506567,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505899,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509637,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506935,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509554,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509553,3 Years,UPS
